Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
4508 19th Ave Ne,Auto Fire Alarm,2025-10-07 01:10:00,47.661321,-122.307244,POINT (-122.307244 47.661321),F250138889
1000 8TH AVE,Aid Response,2025-10-07 00:56:00,47.607945,-122.328471,POINT (-122.328471 47.607945),F250138887
2929 1st Ave,Aid Response,2025-10-07 00:45:00,47.617141,-122.352885,POINT (-122.352885 47.617141),F250138885
11724 16th Ave Ne,Aid Response Yellow,2025-10-07 00:44:00,47.714106,-122.31116,POINT (-122.31116 47.714106),F250138884
1100 5th Ave,Aid Response,2025-10-07 00:42:00,47.607266,-122.332451,POINT (-122.332451 47.607266),F250138883
21 W Lee St,Aid Response Yellow,2025-10-07 00:32:00,47.631304,-122.356862,POINT (-122.356862 47.631304),F250138881
9th Ave / Pike St,Low Acuity Response,2025-10-07 00:28:00,47.612535,-122.331134,POINT (-122.331134 47.612535),F250138879
4102 Linden Ave N,Activated CO Detector,2025-10-07 00:04:00,47.656671,-122.348564,POINT (-122.348564 47.656671),F250138877
400 Yesler Way,Auto Fire Alarm,2025-10-06 23:58:00,47.60172,-122.328948,POINT (-122.328948 47.60172),F250138875
116 Stewart St,Aid Response,2025-10-06 23:58:00,47.610387,-122.341198,POINT (-122.341198 47.610387),F250138876
4722 Rainier Ave S,Aid Response,2025-10-06 23:48:00,47.560455,-122.286781,POINT (-122.286781 47.560455),F250138874
12509 GREENWOOD AVE N,Aid Response,2025-10-06 23:18:00,47.719674,-122.355539,POINT (-122.355539 47.719674),F250138871
417 BROADWAY E,Aid Response,2025-10-06 23:07:00,47.622174,-122.320909,POINT (-122.320909 47.622174),F250138869
1903 Fairmount Ave Sw,Aid Response,2025-10-06 22:56:00,47.586429,-122.378741,POINT (-122.378741 47.586429),F250138865
116 Stewart St,Alarm Bell,2025-10-06 22:51:00,47.610387,-122.341198,POINT (-122.341198 47.610387),F250138863
6200 24th Ave Nw,Automatic Fire Alarm False,2025-10-06 22:48:00,47.673831,-122.387586,POINT (-122.387586 47.673831),F250138862
4336 S Bennett St,Aid Response,2025-10-06 22:47:00,47.554303,-122.277991,POINT (-122.277991 47.554303),F250138861
9455 27th Ave Sw,Aid Response,2025-10-06 22:29:00,47.518178,-122.367277,POINT (-122.367277 47.518178),F250138859
5th Ave / Pine St,Medic Response- Overdose,2025-10-06 22:19:00,47.611672,-122.336484,POINT (-122.336484 47.611672),F250138857
1209 Westlake Ave N,Aid Response,2025-10-06 22:11:00,47.62978,-122.341006,POINT (-122.341006 47.62978),F250138855
719 2nd Ave,Rubbish Fire,2025-10-06 21:59:00,47.60315,-122.333292,POINT (-122.333292 47.60315),F250138853
1135 Nw Leary Way,Aid Response,2025-10-06 21:59:00,47.663658,-122.371089,POINT (-122.371089 47.663658),F250138854
